instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
273417,1068,MCXGOLDEX,MCXGOLDEX,0.0,,0.0,0.0,1,EQ,INDICES,MCX
59388167,231985,ALUMINIUM21DECFUT,ALUMINIUM,0.0,2021-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
59087879,230812,ALUMINIUM21NOVFUT,ALUMINIUM,0.0,2021-11-30,0.0,0.05,1,FUT,MCX-FUT,MCX
58924295,230173,ALUMINIUM21OCTFUT,ALUMINIUM,0.0,2021-10-29,0.0,0.05,1,FUT,MCX-FUT,MCX
58729223,229411,ALUMINIUM21SEPFUT,ALUMINIUM,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59621639,232897,ALUMINIUM22JANFUT,ALUMINIUM,0.0,2022-01-31,0.0,0.05,1,FUT,MCX-FUT,MCX
59622919,232902,ALUMINIUMOCT21NOV21FUT,ALUMINIUM,0.0,2021-10-29,0.0,0.05,1,FUT,MCX-FUT,MCX
59622663,232901,ALUMINIUMSEP21NOV21FUT,ALUMINIUM,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59391751,231999,ALUMINIUMSEP21OCT21FUT,ALUMINIUM,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59388423,231986,COPPER21DECFUT,COPPER,0.0,2021-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
59085319,230802,COPPER21NOVFUT,COPPER,0.0,2021-11-30,0.0,0.05,1,FUT,MCX-FUT,MCX
58924551,230174,COPPER21OCTFUT,COPPER,0.0,2021-10-29,0.0,0.05,1,FUT,MCX-FUT,MCX
58729479,229412,COPPER21SEPFUT,COPPER,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59622151,232899,COPPER22JANFUT,COPPER,0.0,2022-01-31,0.0,0.05,1,FUT,MCX-FUT,MCX
59627271,232919,COPPEROCT21NOV21FUT,COPPER,0.0,2021-10-29,0.0,0.05,1,FUT,MCX-FUT,MCX
59625223,232911,COPPERSEP21NOV21FUT,COPPER,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59392519,232002,COPPERSEP21OCT21FUT,COPPER,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
58733063,229426,COTTON21DECFUT,COTTON,0.0,2021-12-31,0.0,10.0,1,FUT,MCX-FUT,MCX
58732807,229425,COTTON21NOVFUT,COTTON,0.0,2021-11-30,0.0,10.0,1,FUT,MCX-FUT,MCX
58731271,229419,COTTON21OCTFUT,COTTON,0.0,2021-10-29,0.0,10.0,1,FUT,MCX-FUT,MCX
59622407,232900,COTTON22FEBFUT,COTTON,0.0,2022-02-28,0.0,10.0,1,FUT,MCX-FUT,MCX
59389703,231991,COTTON22JANFUT,COTTON,0.0,2022-01-31,0.0,10.0,1,FUT,MCX-FUT,MCX
59620615,232893,COTTONNOV21DEC21FUT,COTTON,0.0,2021-11-30,0.0,10.0,1,FUT,MCX-FUT,MCX
59620359,232892,COTTONOCT21DEC21FUT,COTTON,0.0,2021-10-29,0.0,10.0,1,FUT,MCX-FUT,MCX
59391239,231997,COTTONOCT21NOV21FUT,COTTON,0.0,2021-10-29,0.0,10.0,1,FUT,MCX-FUT,MCX
58736903,229441,COTTONREF21DECFUT,COTTONREF,0.0,2021-12-31,0.0,10.0,1,FUT,MCX-FUT,MCX
58736647,229440,COTTONREF21NOVFUT,COTTONREF,0.0,2021-11-30,0.0,10.0,1,FUT,MCX-FUT,MCX
58736391,229439,COTTONREF21OCTFUT,COTTONREF,0.0,2021-10-29,0.0,10.0,1,FUT,MCX-FUT,MCX
59624199,232907,COTTONREF22FEBFUT,COTTONREF,0.0,2022-02-28,0.0,10.0,1,FUT,MCX-FUT,MCX
59392775,232003,COTTONREF22JANFUT,COTTONREF,0.0,2022-01-31,0.0,10.0,1,FUT,MCX-FUT,MCX
59388679,231987,CPO21DECFUT,CPO,0.0,2021-12-31,0.0,0.1,1,FUT,MCX-FUT,MCX
59089159,230817,CPO21NOVFUT,CPO,0.0,2021-11-30,0.0,0.1,1,FUT,MCX-FUT,MCX
58924807,230175,CPO21OCTFUT,CPO,0.0,2021-10-29,0.0,0.1,1,FUT,MCX-FUT,MCX
58730503,229416,CPO21SEPFUT,CPO,0.0,2021-09-30,0.0,0.1,1,FUT,MCX-FUT,MCX
59624967,232910,CPO22JANFUT,CPO,0.0,2022-01-31,0.0,0.1,1,FUT,MCX-FUT,MCX
59621127,232895,CPOOCT21NOV21FUT,CPO,0.0,2021-10-29,0.0,0.1,1,FUT,MCX-FUT,MCX
59620871,232894,CPOSEP21NOV21FUT,CPO,0.0,2021-09-30,0.0,0.1,1,FUT,MCX-FUT,MCX
59390471,231994,CPOSEP21OCT21FUT,CPO,0.0,2021-09-30,0.0,0.1,1,FUT,MCX-FUT,MCX
59058439,230697,CRUDEOIL21DECFUT,CRUDEOIL,0.0,2021-12-17,0.0,1.0,1,FUT,MCX-FUT,MCX
58886151,230024,CRUDEOIL21NOVFUT,CRUDEOIL,0.0,2021-11-18,0.0,1.0,1,FUT,MCX-FUT,MCX
58681863,229226,CRUDEOIL21OCTFUT,CRUDEOIL,0.0,2021-10-19,0.0,1.0,1,FUT,MCX-FUT,MCX
58546951,228699,CRUDEOIL21SEPFUT,CRUDEOIL,0.0,2021-09-20,0.0,1.0,1,FUT,MCX-FUT,MCX
59585799,232757,CRUDEOIL22FEBFUT,CRUDEOIL,0.0,2022-02-18,0.0,1.0,1,FUT,MCX-FUT,MCX
59307271,231669,CRUDEOIL22JANFUT,CRUDEOIL,0.0,2022-01-19,0.0,1.0,1,FUT,MCX-FUT,MCX
59586567,232760,CRUDEOILOCT21NOV21FUT,CRUDEOIL,0.0,2021-10-19,0.0,1.0,1,FUT,MCX-FUT,MCX
